directory_path|depth|descendant_file_count|descendant_total_size_bytes|mime_diversity
/.git|1|37|45786|5
/.git/hooks|2|14|25879|2
/.git/objects|2|9|17128|3
/.git/logs|2|4|1435|1
/.git/logs/refs|3|3|896|1
/.git/objects/pack|3|3|14448|2
/.git/refs|2|3|112|1
/.git/logs/refs/remotes|4|2|357|1
/.git/logs/refs/remotes/origin|5|2|357|1
/.git/refs/remotes|3|2|71|1
/.git/refs/remotes/origin|4|2|71|1
/.git/info|2|1|240|1
/.git/logs/refs/heads|4|1|539|1
/.git/objects/01|3|1|182|1
/.git/objects/21|3|1|180|1
/.git/objects/48|3|1|540|1
/.git/objects/6f|3|1|171|1
/.git/objects/87|3|1|722|1
/.git/objects/cd|3|1|885|1
/.git/refs/heads|3|1|41|1
