scope|target_path|proposed_action|classification|confidence|matched_rule_id|explanation|preservation_override|review_required|dry_run|evidence_size_bytes|evidence_date|evidence_mime|parent_directory|evidence_file_count|evidence_total_size_bytes|evidence_oldest_date|evidence_newest_date|evidence_mime_diversity
directory|/.git|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||37|45786|2026-02-08|2026-02-08|5
directory|/.git/hooks|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||14|25879|2026-02-08|2026-02-08|2
directory|/.git/info|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|240|2026-02-08|2026-02-08|1
directory|/.git/logs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||4|1435|2026-02-08|2026-02-08|1
directory|/.git/logs/refs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||3|896|2026-02-08|2026-02-08|1
directory|/.git/logs/refs/heads|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|539|2026-02-08|2026-02-08|1
directory|/.git/logs/refs/remotes|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||2|357|2026-02-08|2026-02-08|1
directory|/.git/logs/refs/remotes/origin|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||2|357|2026-02-08|2026-02-08|1
directory|/.git/objects|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||9|17128|2026-02-08|2026-02-08|3
directory|/.git/objects/01|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|182|2026-02-08|2026-02-08|1
directory|/.git/objects/21|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|180|2026-02-08|2026-02-08|1
directory|/.git/objects/48|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|540|2026-02-08|2026-02-08|1
directory|/.git/objects/6f|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|171|2026-02-08|2026-02-08|1
directory|/.git/objects/87|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|722|2026-02-08|2026-02-08|1
directory|/.git/objects/cd|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|885|2026-02-08|2026-02-08|1
directory|/.git/objects/pack|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||3|14448|2026-02-08|2026-02-08|2
directory|/.git/refs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||3|112|2026-02-08|2026-02-08|1
directory|/.git/refs/heads|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|41|2026-02-08|2026-02-08|1
directory|/.git/refs/remotes|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||2|71|2026-02-08|2026-02-08|1
directory|/.git/refs/remotes/origin|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||2|71|2026-02-08|2026-02-08|1
directory|/_meta|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|0|2026-02-08|2026-02-08|1
directory|/docs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|||||1|1459|2026-02-08|2026-02-08|1
file|./.git/COMMIT_EDITMSG|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|18|2026-02-08|text/plain|/.git|||||
file|./.git/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|21|2026-02-08|text/plain|/.git|||||
file|./.git/config|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|335|2026-02-08|text/plain|/.git|||||
file|./.git/description|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|73|2026-02-08|text/plain|/.git|||||
file|./.git/hooks/applypatch-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|482|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/commit-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|900|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/fsmonitor-watchman.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|4726|2026-02-08|text/x-perl|/.git/hooks|||||
file|./.git/hooks/post-update.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|193|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-applypatch.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|428|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-commit.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|1653|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-merge-commit.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|420|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-push.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|1378|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-rebase.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|4902|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/pre-receive.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|548|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/prepare-commit-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|1496|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/push-to-checkout.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|2787|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/sendemail-validate.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|2312|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/hooks/update.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|3654|2026-02-08|text/plain|/.git/hooks|||||
file|./.git/index|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|433|2026-02-08|application/octet-stream|/.git|||||
file|./.git/info/exclude|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|240|2026-02-08|text/plain|/.git/info|||||
file|./.git/logs/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|539|2026-02-08|text/plain|/.git/logs|||||
file|./.git/logs/refs/heads/main|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|539|2026-02-08|text/plain|/.git/logs/refs/heads|||||
file|./.git/logs/refs/remotes/origin/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|190|2026-02-08|text/plain|/.git/logs/refs/remotes/origin|||||
file|./.git/logs/refs/remotes/origin/main|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|167|2026-02-08|text/plain|/.git/logs/refs/remotes/origin|||||
file|./.git/objects/01/90b0e2b9fe26771b2f1de001ae3a7601c250c3|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|182|2026-02-08|application/zlib|/.git/objects/01|||||
file|./.git/objects/21/df08c5f8146c2b4967e58cee5076280251d354|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|180|2026-02-08|application/zlib|/.git/objects/21|||||
file|./.git/objects/48/39f67ab15adad210c4aa126728e3716d8dbce5|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|540|2026-02-08|application/zlib|/.git/objects/48|||||
file|./.git/objects/6f/a97ae6c4c81d26cd3493a60626471209d85587|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|171|2026-02-08|application/zlib|/.git/objects/6f|||||
file|./.git/objects/87/c9ae4216f724a5634358cf262a90a90b29735c|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|722|2026-02-08|application/zlib|/.git/objects/87|||||
file|./.git/objects/cd/ea240e3e314d7d620e5dcdf8be4140feb86938|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|885|2026-02-08|application/zlib|/.git/objects/cd|||||
file|./.git/objects/pack/pack-69f4e030a4d85e9e56983f61d0e55bade10ee594.idx|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed|0|1|true|1184|2026-02-08|application/octet-stream|/.git/objects/pack|||||
